,age,status,sex,body_type,drinks,height,New_Pets,New_Job,New_Education,New_religion,New_sign,New_smokes,Cluster
0,22.0,single,m,a_little_extra,socially,190.5,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Gemini,Yes,4
1,35.0,single,m,average,often,177.8,Likes_Boths,Active_working,Postgraduate_degree,agnosticism,Cancer,No,3
5,29.0,single,m,average,socially,170.18,Only_Cat,Active_working,Graduate_Degree,atheism,Taurus,No,3
7,31.0,single,f,average,socially,165.1,Likes_Boths,Active_working,Graduate_Degree,christianity,Sagittarius,No,2
9,37.0,single,m,athletic,not at all,165.1,Likes_Boths,Student,Graduate_Degree,atheism,Cancer,No,2
11,28.0,seeing someone,m,average,socially,182.88,Only_Cat,Active_working,Graduate_Degree,christianity,Leo,No,4
14,29.0,single,f,thin,socially,157.48,Likes_Boths,Active_working,Graduate_Degree,catholicism,Taurus,No,2
15,39.0,single,f,fit,socially,165.1,Likes_Boths,Active_working,Graduate_Degree,atheism,Aquarius,No,2
18,31.0,single,m,average,rarely,180.34,Likes_Boths,Active_working,Graduate_Degree,christianity,Libra,No,3
19,33.0,single,m,athletic,socially,182.88,Likes_Boths,Active_working,Postgraduate_degree,catholicism,Pisces,No,4
20,27.0,single,f,average,socially,170.18,Only_Dog,Active_working,Graduate_Degree,catholicism,Libra,No,2
21,22.0,single,f,athletic,socially,170.18,Likes_Boths,Student,Graduate_Degree,catholicism,Taurus,No,2
22,30.0,single,m,fit,socially,175.26,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Sagittarius,No,3
23,30.0,single,m,thin,not at all,180.34,Likes_Boths,Active_working,Graduate_Degree,atheism,Aquarius,No,4
24,33.0,single,m,thin,socially,185.42000000000002,Only_Cat,Active_working,Graduate_Degree,other,Scorpio,Yes,4
26,22.0,single,m,fit,socially,182.88,Only_Dog,Active_working,Graduate_Degree,catholicism,Leo,Yes,4
34,27.0,single,m,thin,socially,175.26,Likes_Boths,Active_working,Graduate_Degree,atheism,Sagittarius,Yes,3
36,32.0,single,m,athletic,socially,175.26,Only_Dog,Active_working,Graduate_Degree,buddhism,Cancer,Yes,3
43,40.0,single,m,fit,socially,180.34,Only_Dog,Active_working,Graduate_Degree,agnosticism,Gemini,No,1
44,29.0,single,f,curvy,socially,167.64000000000001,Only_Cat,Active_working,Postgraduate_degree,other,Aquarius,No,2
49,26.0,single,f,athletic,socially,167.64000000000001,Likes_Boths,Active_working,Graduate_Degree,other,Taurus,No,2
52,31.0,single,m,average,socially,175.26,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Gemini,No,3
58,22.0,single,m,fit,socially,177.8,Likes_Boths,Student,Graduate_Degree,agnosticism,Pisces,Yes,3
60,31.0,seeing someone,m,fit,socially,170.18,Only_Dog,Active_working,Graduate_Degree,catholicism,Gemini,No,3
63,28.0,single,f,curvy,socially,170.18,Only_Dog,Active_working,Postgraduate_degree,other,Gemini,Yes,2
67,30.0,single,f,thin,rarely,167.64000000000001,Likes_Boths,Student,Graduate_Degree,other,Aries,Yes,2
69,29.0,single,m,thin,socially,193.04,Likes_Boths,Active_working,Postgraduate_degree,agnosticism,Scorpio,No,4
72,35.0,single,m,athletic,socially,185.42000000000002,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Pisces,No,4
77,25.0,seeing someone,f,curvy,socially,165.1,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Leo,No,2
94,29.0,single,m,fit,socially,170.18,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Libra,No,3
95,25.0,single,m,athletic,socially,198.12,Likes_Boths,Active_working,Graduate_Degree,catholicism,Aries,No,4
96,34.0,single,m,skinny,very often,190.5,Likes_Boths,Active_working,High_School,other,Aries,No,4
98,31.0,single,f,curvy,socially,167.64000000000001,Only_Dog,Active_working,Postgraduate_degree,atheism,Pisces,No,2
105,42.0,single,f,fit,socially,165.1,Only_Dog,Active_working,Postgraduate_degree,judaism,Aries,No,0
106,45.0,single,f,fit,socially,162.56,Only_Dog,Active_working,Postgraduate_degree,agnosticism,Aries,No,0
113,23.0,single,f,curvy,rarely,167.64000000000001,Likes_Boths,Active_working,Graduate_Degree,other,Capricorn,Yes,2
114,36.0,seeing someone,m,fit,often,177.8,Likes_Boths,Active_working,Postgraduate_degree,agnosticism,Aries,No,3
117,55.0,single,m,athletic,not at all,170.18,Likes_Boths,Active_working,High_School,other,Leo,No,0
120,24.0,single,m,average,socially,180.34,Only_Cat,Active_working,Graduate_Degree,atheism,Aquarius,No,4
123,21.0,single,m,thin,socially,177.8,Only_Dog,Active_working,Postgraduate_degree,atheism,Sagittarius,Yes,4
128,26.0,single,m,average,often,180.34,Likes_Boths,Active_working,High_School,atheism,Libra,Yes,4
137,50.0,single,m,average,often,185.42000000000002,Only_Cat,Active_working,Graduate_Degree,other,Libra,No,1
141,59.0,single,m,fit,socially,185.42000000000002,Likes_Boths,Active_working,Postgraduate_degree,other,Libra,No,1
142,36.0,single,m,fit,often,185.42000000000002,Likes_Boths,Active_working,Graduate_Degree,other,Taurus,No,1
145,24.0,single,m,skinny,socially,170.18,Likes_Boths,Active_working,Graduate_Degree,catholicism,Scorpio,No,3
