Song,Artist(s),Lyrics
Revolution,The Score,wolf begin howl wake time hear drumming revolution coming wide awake fever burn sweat wait turn hear drumming revolution coming doubt creepin inside shed skin hear drumming revolution coming waitin life live dreaming get love stealing let time keep passing run always chasing black every fear facing wolf begin howl wake time hear drumming revolution coming wild thing turn drag dark dawn hear drumming revolution coming body ache bound chain well fire vein hear drumming revolution coming like every king lost crown year history hear drumming revolution coming waitin life run always chasing black every fear facing wolf begin howl wake time hear drumming revolution coming wild thing turn drag dark dawn hear drumming revolution coming revolution coming revolution coming hear drumming revolution coming rising ground bottom hold hold rising ground bottom hold hold hold wolf begin howl wake time hear drumming revolution coming wild thing turn drag dark dawn hear drumming revolution coming revolution coming revolution coming hear drumming revolution coming revolution coming revolution coming hear drumming revolution coming
Hey Okay,Agua de Annique and Anneke van Giersbergen,eye shoe hard choose best thing way want move side side night thing dream see morning light hey stay another day feel right stay another night hey right stay another night feel stay another day play mine whatever fine let dance let sway night away fear shame play game best thing even know name hey stay another day feel right stay another night hey right stay another night hey stay another day feel right stay another night hey right stay another night hey stay another day feel right stay another night hey right stay another night
The devil you know,Kovacs,dream remember dream stepped dark ride cigarette smoke feeling alright sky looked like black glitter tonight winner said wrong side fucked play nice got know burned letter worse better made fall make crawl made bed lie done dead stop hiding one step two step three step four heart trunk body floor horn head lost bet cause devil know know know know know know devil know know know know know know coming real thriller never thought killer thunder brings white light kovac gonna alright used easy enemy enjoy wolf bite say goodbye made fall make crawl made bed lie done dead stop hiding one step two step three step four heart trunk body floor horn head lost bet cause devil know know know know know know devil know know know know know know killed u killed u wrote name drew cross killed u blew flame see made bed lie done dead stop hiding one step two step three step four heart trunk body floor horn head lost bet cause devil know know know know know know devil know know know know know know devil know know know know know know killed u know know know know know know killed u
Caravanserai ,Loreena McKennitt,glancing life like morning star setting sun rolling wave sea gentle breeze lightning storm dancing dream eternity sand shimmering morning light dancing dune far away night held music sweet long lay break day woke morning onward call camel bridled howdah full sun rising eastern sky set desert cry calling yearning pulling home tent grew smaller rode away earth tell many passing day month peace year war life love life fear calling yearning pulling home crossed river bed etched stone mighty mountain ever known beyond valley searing heat reached caravanserai calling yearning pulling home calling yearning pulling home life pull far away home cannot reside quest pull onward heart full side calling yearning pulling home
Shape Of You,Ed Sheeran,club best place find lover bar go friend table shot drinking fast talk slow come start conversation trust give chance take hand stop put van man jukebox start dance singing like girl know want love love handmade somebody like come follow lead may crazy mind say boy let talk much grab waist put body come follow lead come come follow lead love shape push pull like magnet although heart falling love body last night room bedsheets smell like every day discovering something brand new love body love body love body love body every day discovering something brand new love shape one week let story begin going first date thrifty go eat fill bag fill plate talk hour hour sweet sour family okay leave get taxi kiss backseat tell driver make radio play singing like girl know want love love handmade somebody like come follow lead may crazy mind say boy let talk much grab waist put body come follow lead come come follow lead love shape push pull like magnet although heart falling love body last night room bedsheets smell like every day discovering something brand new love body love body love body love body every day discovering something brand new love shape come baby come come baby come come baby come come baby come come baby come come baby come come baby come come baby come love shape push pull like magnet although heart falling love body last night room bedsheets smell like every day discovering something brand new love body come baby come come baby come love body come baby come come baby come love body come baby come come baby come love body every day discovering something brand new love shape
Stay with me,Sam Smith,guess true good one night stand still need love cause man night never seem go plan want leave hold hand stay cause need love clear see darling stay emotional good look gain self control deep know never work lay hurt stay cause need love clear see darling stay stay cause need love clear see darling stay stay cause need love clear see darling stay
Blinding Lights,The Weeknd,tryna call long enough maybe show love maybe going withdrawal even much turn touch baby look around sin city cold empty one around judge see clearly gone said blinded light sleep feel touch said drowning night like one trust hey hey hey running time cause see sun light sky hit road overdrive baby city cold empty one around judge see clearly gone said blinded light sleep feel touch said drowning night like one trust walking let know let know never say phone say phone never let go time said blinded light sleep feel touch hey hey hey said blinded light sleep feel touch
healed,Rag’n Bone Man,must drank lot pain judging way ache must sold lot secret everyone heavy weight fear face first one defeated everything know everything took em shook em floor laid ghost hate blew away close door healed love like love like healed love like love like love bitter taste lying wake least know got reason relate better place know broken even everything know everything took em shook em floor laid ghost hate blew away close door healed love like love like healed love like love like nobody know like baby know nobody go like baby go nobody know like baby know nobody nobody healed love like love like healed love like love like healed love like love like healed love like love like
Make You Feel My Love,Ane Brun,rain blowing face whole world case could offer warm embrace make feel love evening shadow star appear one dry tear could hold million year make feel love know made mind yet never wrong known moment met doubt mind belong go hungry go black blue go crawling avenue nothing make feel love storm raging rolling sea highway regret wind change blowing wild free seen nothing like yet could make happy make dream come true nothing go end earth make feel love make feel love make feel love
In The Light,Irene Skylakaki,lately sitting alone mind frozen time clock ticking tell would want kiss hold arm squeeze knew beast light everything look beautiful bright see cloud sky sparkling eye make hard see behind lie put disguise lately sitting dark moment park seem far distant
